No,Name (best-effort from OCR),Area_ha (OCR),Declaration_date (OCR),Year,"Raw_OCR_entry (verbatim, for verification)"
47,Siwiutame Southern Highlands,"12,540",27 January 1977,1977,"47 | Siwiutame Southern Highlands | Wildlife 27 January 1977 Province Management Area 12,540 ha."
48,Sulamesi Southern Highlands,"864,451",7 February 2008,2008,"48 | Sulamesi Southern Highlands | Wildlife 7 February 2008 Province Management Area 864,451 ha."
49,Tab Island Madang,984.30,26 January 2006,2006,49 | Tab Island Madang Province Wildlife 26 January 2006 Management Area 984.30 ha.
50,Tabad Island Madang,16.2,26 January 2006,2006,50 | Tabad Island Madang Province Wildlife 26 January 2006 Management Area 16.2 ha.
51,Talele Islands East New Britain,12,26 July 1977,1977,51 | Talele Islands East New Britain Reserve 26 July 1977 Nature Reserve Province 12 ha.
52,Tavalo West New Britain,20,,,52 | Tavalo West New Britain | Wildlife - Province Management Area 20 ha.
53,Tondo Western,"590,000",6 February 1975,1975,"53 | Tondo Western Province Wildlife 6 February 1975 Management Area 590,000 ha."
54,Variarata Natonal | Central,"1,063",18 December 1969,1969,"54 | Variarata Natonal | Central Province National Park 18 December 1969 Park 1,063 ha."
55,Wewak War East Sepik,1.09,24 April 1969,1969,55 | Wewak War East Sepik Province | Reserve 1.09 ha. 24 April 1969 Memorial site
56,Zo-iomaga Central,"1,510",15 March 1981,1981,"56 | Zo-iomaga Central Province Wildlife 15 March 1981 Management Area 1,510 ha."
57,YUS Morobe,"75,000",9 January 2019,2019,"57 | YUS Morobe Province Conservation Area | 9 January 2019 75,000 ha."
58,Managalas Conservation Area,"214,696",2017 (gazetted),2017,"CORRECTION: added — omitted from the Act's Schedule 2 in error, acknowledged by CEPA. 214,696 ha, Oro Province, gazetted 2017."
